age_group,totalpositive,date,case_percent,deaths,deaths_percent,ca_percent
0-17,120,2020-04-02,,,,
18-49,5302,2020-04-02,,,,
50-64,2879,2020-04-02,,,,
65 and Older,2342,2020-04-02,,,,
Unknown,58,2020-04-02,,,,
0-17,137,2020-04-03,,,,
18-49,5917,2020-04-03,,,,
50-64,3253,2020-04-03,,,,
65 and Older,2660,2020-04-03,,,,
Unknown,59,2020-04-03,,,,
0-17,160,2020-04-04,,,,
18-49,6610,2020-04-04,,,,
50-64,3653,2020-04-04,,,,
65 and Older,2966,2020-04-04,,,,
Unknown,49,2020-04-04,,,,
0-17,173,2020-04-05,,,,
18-49,7099,2020-04-05,,,,
50-64,3884,2020-04-05,,,,
65 and Older,3129,2020-04-05,,,,
Unknown,51,2020-04-05,,,,
0-17,197,2020-04-06,,,,
18-49,7753,2020-04-06,,,,
50-64,4344,2020-04-06,,,,
65 and Older,3516,2020-04-06,,,,
Unknown,55,2020-04-06,,,,
0-17,222,2020-04-07,,,,
18-49,8289,2020-04-07,,,,
50-64,4639,2020-04-07,,,,
65 and Older,3751,2020-04-07,,,,
Unknown,56,2020-04-07,,,,
0-17,252,2020-04-08,,,,
18-49,8939,2020-04-08,,,,
50-64,5003,2020-04-08,,,,
65 and Older,4056,2020-04-08,,,,
Unknown,59,2020-04-08,,,,
0-17,269,2020-04-09,,,,
18-49,9469,2020-04-09,,,,
50-64,5347,2020-04-09,,,,
65 and Older,4335,2020-04-09,,,,
Unknown,52,2020-04-09,,,,
0-17,303,2020-04-10,,,,
18-49,10069,2020-04-10,,,,
50-64,5633,2020-04-10,,,,
65 and Older,4561,2020-04-10,,,,
Unknown,49,2020-04-10,,,,
0-17,330,2020-04-11,,,,
18-49,10599,2020-04-11,,,,
50-64,5941,2020-04-11,,,,
65 and Older,4870,2020-04-11,,,,
Unknown,54,2020-04-11,,,,
0-17,337,2020-04-12,,,,
18-49,10838,2020-04-12,,,,
50-64,6079,2020-04-12,,,,
65 and Older,5036,2020-04-12,,,,
Unknown,58,2020-04-12,,,,
0-17,362,2020-04-13,,,,
18-49,11246,2020-04-13,,,,
50-64,6348,2020-04-13,,,,
65 and Older,5320,2020-04-13,,,,
Unknown,62,2020-04-13,,,,
0-17,385,2020-04-14,,,,
18-49,11721,2020-04-14,,,,
50-64,6644,2020-04-14,,,,
65 and Older,5605,2020-04-14,,,,
Unknown,69,2020-04-14,,,,
0-17,432,2020-04-15,,,,
18-49,12479,2020-04-15,,,,
50-64,7141,2020-04-15,,,,
65 and Older,6051,2020-04-15,,,,
Unknown,79,2020-04-15,,,,
0-17,472,2020-04-16,,,,
18-49,13144,2020-04-16,,,,
50-64,7488,2020-04-16,,,,
65 and Older,6360,2020-04-16,,,,
Unknown,64,2020-04-16,,,,
0-17,507,2020-04-17,,,,
18-49,13798,2020-04-17,,,,
50-64,7862,2020-04-17,,,,
65 and Older,6729,2020-04-17,,,,
Unknown,67,2020-04-17,,,,
0-17,550,2020-04-18,,,,
