sex,totalpositive2,date,case_percent,deaths,deaths_percent,ca_percent
Female,5015,2020-04-02,,,,
Male,5547,2020-04-02,,,,
Unknown,139,2020-04-02,,,,
Female,5674,2020-04-03,,,,
Male,6202,2020-04-03,,,,
Unknown,150,2020-04-03,,,,
Female,6349,2020-04-04,,,,
Male,6876,2020-04-04,,,,
Unknown,213,2020-04-04,,,,
Female,6740,2020-04-05,,,,
Male,7296,2020-04-05,,,,
Unknown,300,2020-04-05,,,,
Female,7600,2020-04-06,,,,
Male,7957,2020-04-06,,,,
Unknown,308,2020-04-06,,,,
Female,8108,2020-04-07,,,,
Male,8488,2020-04-07,,,,
Unknown,361,2020-04-07,,,,
Female,8776,2020-04-08,,,,
Male,9130,2020-04-08,,,,
Transgender,2,2020-04-08,,,,
Unknown,401,2020-04-08,,,,
Female,9387,2020-04-09,,,,
Male,9745,2020-04-09,,,,
Unknown,400,2020-04-09,,,,
Female,9981,2020-04-10,,,,
Male,10330,2020-04-10,,,,
Unknown,304,2020-04-10,,,,
Female,9981,2020-04-10,,,,
Male,10330,2020-04-10,,,,
Unknown,304,2020-04-10,,,,
Female,10571,2020-04-11,,,,
Male,10926,2020-04-11,,,,
Unknown,297,2020-04-11,,,,
Female,10877,2020-04-12,,,,
Male,11256,2020-04-12,,,,
Unknown,215,2020-04-12,,,,
Female,11352,2020-04-13,,,,
Male,11772,2020-04-13,,,,
Unknown,214,2020-04-13,,,,
Female,11934,2020-04-14,,,,
Male,12265,2020-04-14,,,,
Unknown,225,2020-04-14,,,,
Female,12771,2020-04-15,,,,
Male,13169,2020-04-15,,,,
Unknown,242,2020-04-15,,,,
Female,13424,2020-04-16,,,,
Male,13865,2020-04-16,,,,
Unknown,239,2020-04-16,,,,
Female,14185,2020-04-17,,,,
Male,14535,2020-04-17,,,,
Unknown,243,2020-04-17,,,,
Female,14902,2020-04-18,,,,
Male,15185,2020-04-18,,,,
Unknown,246,2020-04-18,,,,
Female,15224,2020-04-19,,,,
Male,15507,2020-04-19,,,,
Unknown,247,2020-04-19,,,,
Female,16363,2020-04-20,,,,
Male,16641,2020-04-20,,,,
Unknown,257,2020-04-20,,,,
Female,17411,2020-04-21,,,,
Male,17718,2020-04-21,,,,
Unknown,267,2020-04-21,,,,
Female,18395,2020-04-22,49.23,552.0,39.54,50.31
Male,18690,2020-04-22,50.01,839.0,60.1,49.69
Unknown,284,2020-04-22,0.76,5.0,0.36,
Female,19394,2020-04-23,49.41,593.0,39.82,50.31
Male,19577,2020-04-23,49.87,891.0,59.84,49.69
Unknown,283,2020-04-23,0.72,5.0,0.34,
Female,20395,2020-04-24,49.58,625.0,39.73,50.31
Male,20459,2020-04-24,49.73,944.0,60.01,49.69
Unknown,283,2020-04-24,0.69,4.0,0.25,
