county,totalcountconfirmed,totalcountdeaths,newcountconfirmed,newcountdeaths,date
Santa Clara,151,6,151,6,3/18/20
Santa Clara,183,8,32,2,3/19/20
Santa Clara,246,8,63,0,3/20/20
Santa Clara,269,10,23,2,3/21/20
Santa Clara,284,13,15,3,3/22/20
Santa Clara,336,13,52,0,3/23/20
Santa Clara,389,17,53,4,3/24/20
Santa Clara,452,20,63,3,3/25/20
Santa Clara,487,20,35,0,3/26/20
Santa Clara,557,25,70,5,3/27/20
Santa Clara,587,27,30,2,3/28/20
Santa Clara,591,30,4,3,3/29/20
Santa Clara,745,31,154,1,3/30/20
Santa Clara,777,30,32,-1,3/31/20
Santa Clara,805,33,28,3,4/1/20
Santa Clara,908,38,103,5,4/2/20
Santa Clara,983,39,75,1,4/3/20
Santa Clara,1045,39,62,0,4/4/20
Santa Clara,1052,42,7,3,4/5/20
Santa Clara,1128,43,76,1,4/6/20
Santa Clara,1193,46,65,3,4/7/20
Santa Clara,1257,47,64,1,4/8/20
Santa Clara,1301,49,44,2,4/9/20
Santa Clara,1351,52,50,3,4/10/20
Santa Clara,1441,52,90,0,4/11/20
Santa Clara,1461,53,20,1,4/12/20
Santa Clara,1542,60,81,7,4/13/20
Santa Clara,1561,66,19,6,4/14/20
Santa Clara,1692,66,131,0,4/15/20
Santa Clara,1789,69,97,3,4/16/20
Santa Clara,1834,73,45,4,4/17/20
Santa Clara,1862,73,28,0,4/18/20
Santa Clara,1878,79,16,6,4/19/20
Santa Clara,1920,83,42,4,4/20/20
Santa Clara,1943,88,23,5,4/21/20
Santa Clara,1969,94,26,6,4/22/20
Santa Clara,1996,95,27,1,4/23/20
Santa Clara,2026,98,30,3,4/24/20
Santa Clara,2045,99,19,1,4/25/20
Santa Clara,2097,102,52,3,4/26/20
Santa Clara,2104,105,7,3,4/27/20
Santa Clara,2130,106,26,1,4/28/20
Santa Clara,2147,108,17,2,4/29/20
Santa Clara,2172,111,25,3,4/30/20
Santa Clara,2176,113,4,2,5/1/20
Santa Clara,2203,115,27,2,5/2/20
Santa Clara,2235,116,32,1,5/3/20
Santa Clara,2238,119,3,3,5/4/20
Santa Clara,2249,123,11,4,5/5/20
Santa Clara,2270,126,21,3,5/6/20
Santa Clara,2281,127,11,1,5/7/20
Santa Clara,2285,130,4,3,5/8/20
Santa Clara,2317,130,32,0,5/9/20
Santa Clara,2331,130,14,0,5/10/20
Santa Clara,2340,133,9,3,5/11/20
Santa Clara,2362,133,22,0,5/12/20
Santa Clara,2370,135,8,2,5/13/20
Santa Clara,2380,135,10,0,5/14/20
Santa Clara,2395,136,15,1,5/15/20
Santa Clara,2420,136,25,0,5/16/20
Santa Clara,2453,136,33,0,5/17/20
Santa Clara,2468,136,15,0,5/18/20
Santa Clara,2480,139,12,3,5/19/20
Santa Clara,2508,139,28,0,5/20/20
Santa Clara,2520,139,12,0,5/21/20
Santa Clara,2537,139,17,0,5/22/20
Santa Clara,2593,139,56,0,5/23/20
Santa Clara,2623,139,30,0,5/24/20
Santa Clara,2647,140,24,1,5/25/20
Santa Clara,2659,140,12,0,5/26/20
Santa Clara,2680,141,21,1,5/27/20
Santa Clara,2698,141,18,0,5/28/20
Santa Clara,2707,141,9,0,5/29/20
Santa Clara,2741,141,34,0,5/30/20
Santa Clara,2785,144,44,3,5/31/20
Santa Clara,2797,144,12,0,6/1/20
Santa Clara,2819,144,22,0,6/2/20
Santa Clara,2836,144,17,0,6/3/20
Santa Clara,2871,144,35,0,6/4/20
Santa Clara,2902,144,31,0,6/5/20
Santa Clara,2934,144,32,0,6/6/20
Santa Clara,2947,144,13,0,6/7/20
Santa Clara,2971,149,24,5,6/8/20
Santa Clara,3006,149,35,0,6/9/20
Santa Clara,3032,149,26,0,6/10/20
Santa Clara,3049,149,17,0,6/11/20
Santa Clara,3099,150,50,1,6/12/20
Santa Clara,3141,150,42,0,6/13/20
Santa Clara,3178,151,37,1,6/14/20
Santa Clara,3204,152,26,1,6/15/20
Santa Clara,3228,152,24,0,6/16/20
